label,run,name,ks_from_visibility,ks,te,re,best_value
15.00,ks_sweep_20260224_072942,ks_01,False,15.0,0.4514521466904016,1.0256005578967764,1.477052704587178
20.00,ks_sweep_20260224_084714,ks_01,False,20.0,0.22411303670936575,0.8480265100292042,1.07213954673857
30.00,ks_sweep_20260224_084714,ks_02,False,30.0,0.5797361211757105,1.5127549352907528,2.0924910564664634
40.00,ks_sweep_20260224_084714,ks_03,False,40.0,0.5042966849654876,1.0312244046421213,1.535521089607609
52.07,ks_sweep_20260224_075926,ks_01,False,52.067139557442545,0.3079457806417323,0.9460016137248425,1.2539473943665747
58.58,ks_sweep_20260224_075926,ks_02,False,58.57553200212286,0.3661150052965628,1.1981646894134292,1.5642796947099922
65.08,ks_sweep_20260224_075926,ks_03,False,65.08392444680318,0.32359521958960924,1.1929821035203212,1.5165773231099304
71.59,ks_sweep_20260224_075926,ks_04,False,71.5923168914835,0.2622774928371817,0.8032244206046929,1.0655019134418746
78.10,ks_sweep_20260224_075926,ks_05,False,78.10070933616382,0.28065449080754784,0.879069788451603,1.159724279259151
map,ks_sweep_20260224_072942,ks_from_visibility,True,57.151141555807406,0.7163799555573516,1.4355099293828844,2.151889884940236
